date,datetime,SPOSTMIN,SACTMIN
07/30/2017,2017-07-30 22:59:00,-999,
07/30/2017,2017-07-30 23:03:00,-999,
07/30/2017,2017-07-30 23:10:00,-999,
07/30/2017,2017-07-30 23:17:00,-999,
07/30/2017,2017-07-30 23:24:00,-999,
07/30/2017,2017-07-30 23:30:00,-999,
07/30/2017,2017-07-30 23:38:00,-999,
07/30/2017,2017-07-30 23:45:00,-999,
07/30/2017,2017-07-30 23:52:00,-999,
07/30/2017,2017-07-30 23:59:00,-999,
07/30/2017,2017-07-31 00:03:00,-999,
07/31/2017,2017-07-31 07:52:00,-999,
07/31/2017,2017-07-31 07:59:00,-999,
07/31/2017,2017-07-31 08:03:00,-999,
07/31/2017,2017-07-31 08:10:00,-999,
07/31/2017,2017-07-31 08:17:00,-999,
07/31/2017,2017-07-31 08:24:00,-999,
07/31/2017,2017-07-31 08:30:00,-999,
07/31/2017,2017-07-31 08:38:00,-999,
07/31/2017,2017-07-31 08:45:00,-999,
07/31/2017,2017-07-31 08:52:00,-999,
07/31/2017,2017-07-31 08:59:00,-999,
07/31/2017,2017-07-31 09:03:00,-999,
07/31/2017,2017-07-31 09:10:00,-999,
07/31/2017,2017-07-31 09:17:00,-999,
07/31/2017,2017-07-31 09:24:00,-999,
07/31/2017,2017-07-31 09:30:00,-999,
07/31/2017,2017-07-31 09:38:00,-999,
07/31/2017,2017-07-31 09:45:00,-999,
07/31/2017,2017-07-31 09:52:00,-999,
07/31/2017,2017-07-31 09:59:00,-999,
07/31/2017,2017-07-31 10:03:00,-999,
07/31/2017,2017-07-31 10:10:00,-999,
07/31/2017,2017-07-31 21:10:00,-999,
07/31/2017,2017-07-31 21:17:00,-999,
07/31/2017,2017-07-31 21:24:00,-999,
07/31/2017,2017-07-31 21:30:00,-999,
07/31/2017,2017-07-31 21:39:00,-999,
07/31/2017,2017-07-31 21:45:00,-999,
07/31/2017,2017-07-31 21:52:00,-999,
07/31/2017,2017-07-31 21:59:00,-999,
07/31/2017,2017-07-31 22:03:00,-999,
07/31/2017,2017-07-31 22:10:00,-999,
07/31/2017,2017-07-31 22:17:00,-999,
07/31/2017,2017-07-31 22:24:00,-999,
07/31/2017,2017-07-31 22:30:00,-999,
07/31/2017,2017-07-31 22:38:00,-999,
07/31/2017,2017-07-31 22:45:00,-999,
07/31/2017,2017-07-31 22:52:00,-999,
07/31/2017,2017-07-31 22:59:00,-999,
07/31/2017,2017-07-31 23:03:00,-999,
07/31/2017,2017-07-31 23:10:00,-999,
07/31/2017,2017-07-31 23:17:00,-999,
07/31/2017,2017-07-31 23:24:00,-999,
07/31/2017,2017-07-31 23:30:00,-999,
07/31/2017,2017-07-31 23:38:00,-999,
07/31/2017,2017-07-31 23:46:00,-999,
07/31/2017,2017-07-31 23:52:00,-999,
07/31/2017,2017-07-31 23:59:00,-999,
07/31/2017,2017-08-01 00:03:00,-999,
08/01/2017,2017-08-01 08:52:00,-999,
08/01/2017,2017-08-01 08:59:00,-999,
08/01/2017,2017-08-01 09:03:00,-999,
08/01/2017,2017-08-01 09:10:00,-999,
08/01/2017,2017-08-01 09:17:00,-999,
08/01/2017,2017-08-01 09:24:00,-999,
08/01/2017,2017-08-01 09:30:00,-999,
08/01/2017,2017-08-01 09:38:00,-999,
08/01/2017,2017-08-01 09:45:00,-999,
08/01/2017,2017-08-01 09:52:00,-999,
08/01/2017,2017-08-01 09:59:00,-999,
08/01/2017,2017-08-01 10:03:00,-999,
08/01/2017,2017-08-01 10:10:00,-999,
08/01/2017,2017-08-01 21:03:00,-999,
08/01/2017,2017-08-01 21:10:00,-999,
08/01/2017,2017-08-01 21:17:00,-999,
08/01/2017,2017-08-01 21:24:00,-999,
08/01/2017,2017-08-01 21:30:00,-999,
08/01/2017,2017-08-01 21:45:00,-999,
08/01/2017,2017-08-01 21:52:00,-999,
08/01/2017,2017-08-01 21:59:00,-999,
08/01/2017,2017-08-01 22:03:00,-999,
08/01/2017,2017-08-01 22:10:00,-999,
08/01/2017,2017-08-01 22:17:00,-999,
08/01/2017,2017-08-01 22:24:00,-999,
08/01/2017,2017-08-01 22:30:00,-999,
08/01/2017,2017-08-01 22:38:00,-999,
08/01/2017,2017-08-01 22:45:00,-999,
08/01/2017,2017-08-01 22:52:00,-999,
08/01/2017,2017-08-01 22:59:00,-999,
08/01/2017,2017-08-01 23:03:00,-999,
08/01/2017,2017-08-01 23:10:00,-999,
08/01/2017,2017-08-01 23:17:00,-999,
08/01/2017,2017-08-01 23:24:00,-999,
08/01/2017,2017-08-01 23:30:00,-999,
08/01/2017,2017-08-01 23:38:00,-999,
08/01/2017,2017-08-01 23:45:00,-999,
08/01/2017,2017-08-01 23:52:00,-999,
08/01/2017,2017-08-01 23:59:00,-999,
08/01/2017,2017-08-02 00:03:00,-999,
08/02/2017,2017-08-02 08:52:00,-999,
08/02/2017,2017-08-02 08:59:00,-999,
08/02/2017,2017-08-02 09:03:00,-999,
08/02/2017,2017-08-02 09:10:00,-999,
08/02/2017,2017-08-02 09:17:00,-999,
08/02/2017,2017-08-02 09:24:00,-999,
08/02/2017,2017-08-02 09:30:00,-999,
08/02/2017,2017-08-02 09:38:00,-999,
08/02/2017,2017-08-02 09:45:00,-999,
08/02/2017,2017-08-02 09:52:00,-999,
08/02/2017,2017-08-02 09:59:00,-999,
08/02/2017,2017-08-02 10:03:00,-999,
08/02/2017,2017-08-02 10:10:00,-999,
08/02/2017,2017-08-02 21:03:00,-999,
08/02/2017,2017-08-02 21:10:00,-999,
08/02/2017,2017-08-02 21:17:00,-999,
08/02/2017,2017-08-02 21:24:00,-999,
08/02/2017,2017-08-02 21:30:00,-999,
08/02/2017,2017-08-02 21:38:00,-999,
08/02/2017,2017-08-02 21:46:00,-999,
08/02/2017,2017-08-02 21:52:00,-999,
08/02/2017,2017-08-02 21:59:00,-999,
08/02/2017,2017-08-02 22:03:00,-999,
08/02/2017,2017-08-02 22:10:00,-999,
08/02/2017,2017-08-02 22:17:00,-999,
08/02/2017,2017-08-02 22:24:00,-999,
